,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
43,43,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,23
44,44,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,-11
45,45,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,4
46,46,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,10
47,47,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,0
48,48,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,5
49,49,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,33
50,50,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,9
51,51,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,3
52,52,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,14
53,53,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,41
54,54,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,31
55,55,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,22
56,56,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,4
57,57,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,2
58,58,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,0
59,59,150011,5061,206,0,169,12,5,59,147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,5
60,60,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,28
