code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized,Month,Value
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,Novermber_normalized,0.132
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,December_normalized,0.1625615763546798
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,January_normalized,0.2844827586206896
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,February_normalized,0.2248803827751196
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,March_normalized,0.3266331658291457
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,April_normalized,0.1339285714285714
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,May_normalized,0.1405405405405405
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,June_normalized,0.3497267759562841
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,July_normalized,0.0879345603271983
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,August_normalized,0.040590405904059
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,September_normalized,0.0964912280701754
