,code_p,Inventory value,Inventory,Total orders,total 23,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w
30,15457,,77.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,97.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,15084,-956.0,-19.0,200.0,920.0,228,84,0,50,104,5,103,81,66,74,3,87,65,6.0,392.0,-211.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32,15087,,190.0,0.0,496.0,84,42,75,1,47,54,38,27,69,34,11,14,36,5.0,179.0,11.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
33,15080,108.0,3.0,,,166,76,198,27,178,4,175,240,126,172,16,203,146,6.0,875.0,76.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,15081,,255.0,300.0,857.0,138,57,71,17,101,49,60,149,61,90,12,52,74,6.0,446.0,109.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,15086,,243.0,300.0,773.0,48,53,114,69,38,58,79,137,57,19,69,32,72,6.0,433.0,110.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36,15083,,72.0,,,145,105,33,48,168,89,102,270,87,55,-5,113,102,6.0,611.0,421.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37,15088,,52.0,0.0,53.0,5,5,5,1,1,6,2,8,7,0,11,2,6,5.0,28.0,24.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
38,15085,,108.0,0.0,100.0,5,36,-1,0,6,14,1,18,11,0,0,10,6,5.0,30.0,78.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
39,15082,,332.0,0.0,60.0,11,8,16,0,4,4,1,0,12,-3,3,4,3,5.0,13.0,319.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
40,15907,,107.0,0.0,121.0,11,20,9,4,15,12,6,11,20,6,0,7,9,5.0,43.0,64.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
41,15906,,207.0,0.0,35.0,0,0,0,0,0,2,18,4,2,0,9,0,7,5.0,33.0,174.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
42,15915,,32.0,0.0,11.0,2,2,2,0,0,0,-1,0,4,0,2,0,1,5.0,5.0,27.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
43,15916,,23.0,0.0,17.0,0,0,0,0,0,15,1,0,0,1,0,0,0,5.0,2.0,21.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
44,15908,,278.0,0.0,53.0,3,0,6,0,9,13,6,8,3,2,3,0,4,5.0,22.0,256.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
